date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-03-07 00:00:00+00:00,129.21,132.69,128.9513,132.17,27560052,124.0819440168,127.4238305982,123.8335112414,126.9244682355,27560052,0.0,1.0
2022-03-08 00:00:00+00:00,128.3,131.79,127.27,129.64,19207816,123.208059882,126.5595495858,122.2189382789,124.4948782783,19207816,0.0,1.0
2022-03-09 00:00:00+00:00,133.44,135.24,132.44,132.9,17536202,128.1440647752,129.8726268001,127.1837525392,127.6254961678,17536202,0.0,1.0
2022-03-10 00:00:00+00:00,131.86,133.45,130.325,131.86,15604247,126.6267714423,128.1536678976,125.15269216,126.6267714423,15604247,0.0,1.0
2022-03-11 00:00:00+00:00,128.89,134.08,128.4249,132.485,20061789,123.7746441013,128.7586646063,123.3280028803,127.2269665898,20061789,0.0,1.0
2022-03-14 00:00:00+00:00,130.17,132.92,129.23,129.46,15786898,125.0038437634,127.6447024125,124.1011502615,124.3220220758,15786898,0.0,1.0
2022-03-15 00:00:00+00:00,132.48,133.55,131.13,131.8,15096604,127.2221650286,128.2496991212,125.92574351,126.5691527081,15096604,0.0,1.0
2022-03-16 00:00:00+00:00,138.4,138.49,134.43,134.87,20354896,132.9072134659,132.9936415671,129.0947738889,129.5173112727,20354896,0.0,1.0
2022-03-17 00:00:00+00:00,140.15,140.19,135.9205,136.86,17050454,134.5877598789,134.6261723684,130.5261192767,131.4283326224,17050454,0.0,1.0
2022-03-18 00:00:00+00:00,140.1,140.85,138.46,140.19,22981425,134.5397442671,135.2599784442,132.9648322001,134.6261723684,22981425,0.0,1.0
2022-03-21 00:00:00+00:00,139.65,140.76,138.7301,140.35,12407732,134.1076037609,135.1735503429,133.224212535,134.7798223261,12407732,0.0,1.0
2022-03-22 00:00:00+00:00,142.62,143.93,141.7202,142.27,13298395,136.9597311019,138.2177401311,136.095642152,136.6236218193,13298395,0.0,1.0
2022-03-23 00:00:00+00:00,139.78,141.585,139.1999,140.98,12093218,134.2324443516,135.9658079376,133.6753672235,135.3848190348,12093218,0.0,1.0
2022-03-24 00:00:00+00:00,140.69,140.71,139.11,140.3,10017625,135.1063284864,135.1255347311,133.5890351535,134.7318067143,10017625,0.0,1.0
2022-03-25 00:00:00+00:00,141.92,143.18,140.8,141.09,8186674,136.2875125367,137.4975059541,135.2119628324,135.4904533808,8186674,0.0,1.0
2022-03-28 00:00:00+00:00,140.87,140.97,137.895,140.0,10818077,135.2791846889,135.3752159125,132.4222557867,134.4437130435,10818077,0.0,1.0
2022-03-29 00:00:00+00:00,141.18,143.595,140.24,143.35,11316503,135.576881482,137.8960355321,134.6741879802,137.6607590342,11316503,0.0,1.0
2022-03-30 00:00:00+00:00,140.54,142.12,139.91,141.9,8771027,134.962281651,136.4795749839,134.3572849423,136.268306292,8771027,0.0,1.0
2022-03-31 00:00:00+00:00,136.32,140.345,136.26,139.83,17353942,130.909764015,134.775020765,130.8521452808,134.2804599634,17353942,0.0,1.0
2022-04-01 00:00:00+00:00,135.31,137.41,133.8,137.4,15721297,129.9398486566,131.9565043522,128.4897771802,131.9469012299,15721297,0.0,1.0
2022-04-04 00:00:00+00:00,135.91,136.94,132.89,134.12,17422937,130.5160359982,131.5051576013,127.6158930454,128.7970770957,17422937,0.0,1.0
2022-04-05 00:00:00+00:00,133.34,135.4,133.01,134.07,11926484,129.0083457876,131.0014250761,128.6890660958,129.7146311666,11926484,1.0,1.0
2022-04-06 00:00:00+00:00,131.49,132.56,130.96,131.58,12914733,127.2184444849,128.2536846978,126.7056619495,127.3055207645,12914733,0.0,1.0
2022-04-07 00:00:00+00:00,131.09,131.92,128.73,130.95,12994231,126.8314387978,127.6344755985,124.5481052441,126.6959868073,12994231,0.0,1.0
2022-04-08 00:00:00+00:00,133.49,133.9,131.49,131.67,13126938,129.1534729203,129.5501537495,127.2184444849,127.3925970441,13126938,0.0,1.0
2022-04-11 00:00:00+00:00,133.0,134.9,132.57,133.0,10466429,128.6793909536,130.5176679672,128.26335984,128.6793909536,10466429,0.0,1.0
2022-04-12 00:00:00+00:00,131.54,134.58,130.7,132.14,12989862,127.2668201958,130.2080634176,126.4541082529,127.8473287264,12989862,0.0,1.0
2022-04-13 00:00:00+00:00,127.3,129.25,126.01,126.94,30838027,123.1645599128,125.0512126373,121.9164665719,122.8162547944,30838027,0.0,1.0
2022-04-14 00:00:00+00:00,126.12,128.3,125.02,126.5,18835190,122.0228931359,124.1320741304,120.9586274964,122.3905485386,18835190,0.0,1.0
2022-04-18 00:00:00+00:00,128.46,129.24,125.54,125.67,11834444,124.2868764053,125.0415374951,121.4617348896,121.5875117379,11834444,0.0,1.0
2022-04-19 00:00:00+00:00,131.12,131.32,128.23,128.45,15015448,126.8604642244,127.0539670679,124.0643481352,124.2772012631,15015448,0.0,1.0
2022-04-20 00:00:00+00:00,131.58,133.51,131.34,132.52,12034940,127.3055207645,129.1728232046,127.0733173522,128.2149841291,12034940,0.0,1.0
2022-04-21 00:00:00+00:00,130.56,132.81,129.96,132.22,12174182,126.3186562624,128.4955632523,125.7381477318,127.9247298638,12174182,0.0,1.0
2022-04-22 00:00:00+00:00,126.81,130.52,126.6879,130.28,14318842,122.6904779461,126.2799556937,122.5723444601,126.0477522815,14318842,0.0,1.0
2022-04-25 00:00:00+00:00,126.77,127.115,123.11,126.01,17149031,122.6517773774,122.9855697825,119.1106753406,121.9164665719,17149031,0.0,1.0
2022-04-26 00:00:00+00:00,123.02,126.41,122.87,124.64,16842345,119.023599061,122.303472259,118.8784719284,120.5909720937,16842345,0.0,1.0
2022-04-27 00:00:00+00:00,121.42,123.56,121.22,122.33,17215247,117.4755763127,119.5460567386,117.2820734692,118.3560142508,17215247,0.0,1.0
2022-04-28 00:00:00+00:00,123.34,123.65,121.14,122.81,13019941,119.3332036107,119.6331330182,117.2046723317,118.8204210753,13019941,0.0,1.0
2022-04-29 00:00:00+00:00,119.36,123.61,118.9,123.05,14874811,115.4824970242,119.5944324495,115.0374404841,119.0526244875,14874811,0.0,1.0
2022-05-02 00:00:00+00:00,120.45,120.71,118.22,119.88,18544958,116.5370875215,116.7886412181,114.3795308161,115.9856044174,18544958,0.0,1.0
2022-05-03 00:00:00+00:00,123.03,124.17,120.78,121.53,15720935,119.0332742032,120.1362404114,116.8563672134,117.5820028766,15720935,0.0,1.0
2022-05-04 00:00:00+00:00,127.1,127.4,122.74,122.8,17061624,122.9710570692,123.2613113345,118.7526950801,118.8107459331,17061624,0.0,1.0
2022-05-05 00:00:00+00:00,123.92,126.1,122.16,125.25,15055401,119.8943618569,122.0035428515,118.1915368338,121.1811557665,15055401,0.0,1.0
2022-05-06 00:00:00+00:00,123.72,124.29,121.18,123.8,14417942,119.7008590134,120.2523421175,117.2433729004,119.7782601508,14417942,0.0,1.0
2022-05-09 00:00:00+00:00,121.86,123.33,120.5,122.11,14312300,117.9012825685,119.3235284685,116.5854632324,118.1431611229,14312300,0.0,1.0
